A Coruna;1351;Estaca de Bares
A Coruna;1363X;As Pontes
A Coruna;1387;A Coruna
A Coruna;1387E;A Coruna Aeropuerto
A Coruna;1390X;Carballo, Depuradora
A Coruna;1393;Cabo Vilan
A Coruna;1399;Vimianzo
A Coruna;1400;Fisterra
A Coruna;1406X;Mazaricos
A Coruna;1410X;Sobrado
A Coruna;1428;Santiago de Compostela Aeropuerto
A Coruna;1435C;Noia
A Coruna;1442U;Boiro
A Coruna;1473A;Padron
A Coruna;1475X;Santiago de Compostela
A Coruna;1476R;Rois, Casas do Porto
Alacant/Alicante;7244X;Orihuela
Alacant/Alicante;7247X;Pinoso
Alacant/Alicante;7261X;Rojales
Alacant/Alicante;8008Y;Villena
Alacant/Alicante;8013X;Novelda
Alacant/Alicante;8018X;Elche/Elx
Alacant/Alicante;8019;Alicante/Alacant Aeropuerto
Alacant/Alicante;8025;Alicante/Alacant
Alacant/Alicante;8036Y;Benidorm
Alacant/Alicante;8050X;Javea/ Xabia
Alacant/Alicante;8057C;Pego
Alacant/Alicante;8059C;Alcoy/Alcoi
Albacete;4007Y;Ossa de Montiel
Albacete;4091Y;Villarrobledo
Albacete;4096Y;Munera
Albacete;7066Y;Yeste, Embalse Fuensanta
Albacete;7072Y;Yeste
Albacete;7096B;Hellin
Albacete;7103Y;Tobarra
Albacete;8177A;Chinchilla
Albacete;8178D;Albacete
Albacete;8198Y;Almansa
Almeria;5060X;Velez Blanco - Topares
Almeria;6277B;Adra
Almeria;6291B;El Ejido
Almeria;6293X;Roquetas de Mar
Almeria;6302A;Abla
Almeria;6325O;Almeria Aeropuerto
Almeria;6329X;Cabo de Gata
Almeria;6332X;Carboneras
Almeria;6340X;Garrucha, Puerto
Almeria;6364X;Albox
Almeria;6367B;Huercal Overa
Araba/alava;1044X;Aramaio
Araba/alava;1060X;Amurrio
Araba/alava;9060X;Lalastra
Araba/alava;9073X;Opakua
Araba/alava;9091R;Vitoria Gasteiz Aeropuerto
Araba/alava;9122I;Labastida
Araba/alava;9145X;Leza
Araba/alava;9178X;Campezo/Kanpezu
Asturias;1179B;Cabrales
Asturias;1183X;Llanes
Asturias;1186P;Amieva, Panizales
Asturias;1199X;Pilona
Asturias;1203D;Colunga
Asturias;1207U;Gijon, Campus
Asturias;1210X;Cabo Penas
Asturias;1212E;Asturias Aeropuerto
Asturias;1221D;Puerto de Pajares
Asturias;1223P;Pola de Lena
Asturias;1226X;Aller
Asturias;1234P;Mieres
Asturias;1249X;Oviedo
Asturias;1272B;Tineo, Soto de la Barca
Asturias;1276F;Pola de Somiedo
Asturias;1279X;Salas
Asturias;1283U;Cabo Busto
Asturias;1302F;Degana
Asturias;1309C;Ibias, San Antolin
Asturias;1327A;Villayon, Oneta
Asturias;1331A;Castropol
Asturias;1341B;Taramundi, Ouria
Asturias;1542;Puerto de Leitariegos
avila;2430Y;Munotello
avila;2444;avila
avila;2453E;Gotarrendura
avila;2456B;Arevalo
avila;2512Y;Rivilla de Barajas
avila;2811A;Navarredonda de Gredos
avila;2828Y;Barco de Avila
avila;3319D;Puerto El Pico
avila;3422D;Candeleda
Badajoz;4244X;Herrera del Duque
Badajoz;4260;Peraleda del Zaucejo
Badajoz;4325X;Castuera
Badajoz;4340;Navalvillar de Pela
Badajoz;4358X;Don Benito
Badajoz;4386B;Llerena
Badajoz;4395X;Villafranca de los Barros
Badajoz;4410X;Merida
Badajoz;4427X;Zafra
Badajoz;4436Y;Almendralejo
Badajoz;4452;Badajoz Aeropuerto
Badajoz;4464X;Alburquerque
Badajoz;4468X;Puebla de Obando
Badajoz;4478X;Badajoz
Badajoz;4486X;Olivenza
Badajoz;4489X;Alconchel
Badajoz;4492F;Barcarrota
Badajoz;4497X;Villanueva del Fresno
Badajoz;4499X;Monesterio
Badajoz;4501X;Fuente de Cantos
Badajoz;4511C;Jerez de los Caballeros
Badajoz;4520X;Fregenal de la Sierra
Badajoz;5473X;Azuaga
Barcelona;0061X;Pontons
Barcelona;0066X;Vilafranca del Penedes
Barcelona;0076;Barcelona Aeropuerto
Barcelona;0092X;Berga
Barcelona;0106X;Balsareny
Barcelona;0114X;Prat de Llucanes
Barcelona;0120X;Moia
Barcelona;0149X;Manresa
Barcelona;0158X;Monistrol de Montserrat
Barcelona;0194D;Corbera, Pic d'Agulles
Barcelona;0201D;Barcelona
Barcelona;0201X;Barcelona, Museo Maritimo
Barcelona;0222X;Caldes de Montbui
Barcelona;0252D;Arenys de Mar
Barcelona;0255B;Santa Susana
Barcelona;0260X;Fogars de Montclus
Barcelona;0341X;Tona
Barcelona;0349;Sant Julia  de Vilatorta
Bizkaia;1055B;Lekeitio
Bizkaia;1056K;Forua
Bizkaia;1057B;Machichaco
Bizkaia;1059X;Punta Galea
